Wall time,Step,Value
1735478894,1,0.030923482
1735478899,11,0.604033351
1735478904,21,0.649418592
1735478908,31,0.605242789
1735478913,41,0.613334775
1735478918,51,0.641764462
1735478923,61,0.610957384
1735478928,71,0.553603113
1735478933,81,0.622063458
1735478938,91,0.625379324
1735478943,101,0.616462648
1735478948,111,0.643665195
1735478953,121,0.658179224
1735478958,131,0.653274775
1735478962,141,0.61917913
1735478967,151,0.646041691
1735478972,161,0.587638497
1735478977,171,0.559438169
1735478982,181,0.659569919
1735478987,191,0.61302346
1735478992,201,0.618517339
1735478997,211,0.631005526
1735479002,221,0.622078001
1735479006,231,0.62934792
1735479011,241,0.617222607
1735479016,251,0.57779336
1735479021,261,0.655696213
1735479026,271,0.602175653
1735479031,281,0.590368986
1735479036,291,0.650019467
1735479041,301,0.607289076
1735479046,311,0.631126046
1735479051,321,0.647584975
1735479055,331,0.60601759
1735479060,341,0.5875898
1735479065,351,0.617349923
1735479070,361,0.64351052
1735479075,371,0.680815279
1735479080,381,0.635405362
1735479085,391,0.617010117
1735479090,401,0.618428349
1735479095,411,0.630985141
1735479100,421,0.604903758
1735479104,431,0.585818589
1735479109,441,0.619888425
1735479114,451,0.625359654
1735479119,461,0.629861653
1735479124,471,0.680090904
1735479129,481,0.616564393
1735479134,491,0.591261685
1735479139,501,0.633082449
1735479144,511,0.579946697
1735479149,521,0.575813591
1735479154,531,0.62135601
1735479159,541,0.641666234
1735479164,551,0.633460283
1735479169,561,0.613118231
1735479174,571,0.602854431
1735479179,581,0.603926003
1735479184,591,0.629973114
1735479189,601,0.636368632
1735479193,611,0.679227471
1735479198,621,0.593802273
1735479203,631,0.670066595
1735479208,641,0.62343657
1735479213,651,0.582311809
1735479218,661,0.646042109
1735479223,671,0.682792842
1735479228,681,0.61275816
1735479233,691,0.669433594
1735479238,701,0.642815351
1735479243,711,0.607027769
1735479248,721,0.636216819
1735479253,731,0.675813317
1735479258,741,0.605514884
1735479263,751,0.613410711
1735479268,761,0.665208936
1735479273,771,0.58843112
1735479278,781,0.626446426
1735479283,791,0.666539788
1735479287,801,0.645093083
1735479292,811,0.62331301
1735479297,821,0.552071691
1735479302,831,0.636214554
1735479307,841,0.638381541
1735479312,851,0.596750855
1735479317,861,0.618900657
1735479322,871,0.693428516
1735479327,881,0.604476452
1735479332,891,0.645319641
1735479337,901,0.647750497
1735479342,911,0.591776013
1735479347,921,0.649891198
1735479352,931,0.682259202
1735479357,941,0.641191781
1735479362,951,0.672118306
1735479367,961,0.674579203
1735479372,971,0.59319222
1735479377,981,0.637203515
1735479382,991,0.66822511
1735479387,1001,0.614118278
1735479392,1011,0.607660532
1735479397,1021,0.675728559
1735479402,1031,0.648752809
1735479407,1041,0.687355697
1735479412,1051,0.646789014
1735479417,1061,0.624120712
1735479422,1071,0.654454887
1735479427,1081,0.660341918
1735479432,1091,0.629122496
1735479437,1101,0.64197737
1735479442,1111,0.621199787
1735479447,1121,0.660165012
1735479452,1131,0.613523781
1735479457,1141,0.641220987
1735479462,1151,0.655159831
1735479467,1161,0.668993831
1735479472,1171,0.629832804
1735479477,1181,0.673134863
1735479481,1191,0.648507953
1735479486,1201,0.653723001
1735479491,1211,0.656972945
1735479496,1221,0.656904995
1735479501,1231,0.677330494
1735479506,1241,0.581199408
1735479511,1251,0.630438089
1735479516,1261,0.639050663
1735479521,1271,0.611520052
1735479526,1281,0.699037731
1735479531,1291,0.612386703
1735479536,1301,0.632772207
1735479541,1311,0.693264306
1735479546,1321,0.581938446
1735479551,1331,0.638962388
1735479556,1341,0.629506648
1735479561,1351,0.643116653
1735479566,1361,0.658759058
1735479571,1371,0.673505545
1735479576,1381,0.593638778
1735479581,1391,0.676628888
1735479586,1401,0.621176362
1735479591,1411,0.658608079
1735479596,1421,0.633848786
1735479601,1431,0.641593635
1735479606,1441,0.673430562
1735479611,1451,0.684587181
1735479616,1461,0.634643614
1735479621,1471,0.613791764
1735479626,1481,0.66612339
1735479631,1491,0.646860719
1735479636,1501,0.61618489
1735479641,1511,0.673759878
1735479646,1521,0.647416413
1735479651,1531,0.650150716
1735479656,1541,0.679842651
1735479661,1551,0.617204607
1735479667,1561,0.658401787
1735479672,1571,0.649071574
1735479677,1581,0.67431742
1735479682,1591,0.656721473
1735479687,1601,0.649086356
1735479692,1611,0.65007019
1735479697,1621,0.670466542
1735479702,1631,0.638059497
1735479707,1641,0.644833386
1735479713,1651,0.657328606
1735479718,1661,0.639347136
1735479723,1671,0.652813971
1735479728,1681,0.694766283
1735479734,1691,0.623949707
1735479739,1701,0.661475897
1735479744,1711,0.656185269
1735479749,1721,0.645520508
1735479754,1731,0.65545094
1735479760,1741,0.679626405
1735479765,1751,0.631707966
1735479770,1761,0.679968894
1735479775,1771,0.674391448
1735479780,1781,0.628844023
1735479786,1791,0.660889089
1735479791,1801,0.678047717
1735479796,1811,0.650712073
1735479801,1821,0.65240854
1735479806,1831,0.680033267
1735479811,1841,0.649713993
1735479817,1851,0.659261942
1735479822,1861,0.653818667
1735479827,1871,0.652550876
1735479832,1881,0.654226363
1735479837,1891,0.655581534
1735479843,1901,0.677992761
1735479848,1911,0.696007907
1735479853,1921,0.654299915
1735479858,1931,0.673722804
1735479863,1941,0.686005652
1735479868,1951,0.629408896
1735479873,1961,0.655094147
1735479879,1971,0.692602277
1735479884,1981,0.626567423
1735479889,1991,0.642047405
1735479894,2001,0.669789791
1735479900,2011,0.664910018
1735479905,2021,0.696192145
1735479910,2031,0.6929546
1735479915,2041,0.626736581
1735479920,2051,0.670705855
1735479925,2061,0.684480131
1735479930,2071,0.662275434
1735479935,2081,0.673377693
1735479941,2091,0.700405777
1735479946,2101,0.648133755
1735479951,2111,0.649989367
1735479956,2121,0.680258691
1735479961,2131,0.658737063
1735479966,2141,0.647442043
1735479971,2151,0.709237158
1735479976,2161,0.657748818
1735479982,2171,0.704646289
1735479987,2181,0.679935396
1735479992,2191,0.643838465
1735479997,2201,0.643660903
1735480002,2211,0.669449627
1735480006,2221,0.639828503
1735480012,2231,0.685260892
1735480017,2241,0.663811982
1735480022,2251,0.675602198
1735480027,2261,0.672537923
1735480032,2271,0.707872868
1735480037,2281,0.668188632
1735480042,2291,0.693926156
1735480048,2301,0.628168762
1735480053,2311,0.677107155
1735480058,2321,0.674601018
1735480063,2331,0.669195175
1735480069,2341,0.676049232
1735480074,2351,0.697605252
1735480079,2361,0.648151815
1735480084,2371,0.672257781
